city,city_ascii,state_id,state_name,id
New York,New York,NY,New York,1840034016
Los Angeles,Los Angeles,CA,California,1840020491
Chicago,Chicago,IL,Illinois,1840000494
Miami,Miami,FL,Florida,1840015149
Dallas,Dallas,TX,Texas,1840019440
Philadelphia,Philadelphia,PA,Pennsylvania,1840000673
Houston,Houston,TX,Texas,1840020925
Atlanta,Atlanta,GA,Georgia,1840013660
Washington,Washington,DC,District of Columbia,1840006060
Boston,Boston,MA,Massachusetts,1840000455
Phoenix,Phoenix,AZ,Arizona,1840020568
Seattle,Seattle,WA,Washington,1840021117
San Francisco,San Francisco,CA,California,1840021543
Detroit,Detroit,MI,Michigan,1840003971
San Diego,San Diego,CA,California,1840021990
Minneapolis,Minneapolis,MN,Minnesota,1840007830
Tampa,Tampa,FL,Florida,1840015982
Denver,Denver,CO,Colorado,1840018789
Brooklyn,Brooklyn,NY,New York,1840034030
Queens,Queens,NY,New York,1840034002
Riverside,Riverside,CA,California,1840020551
Baltimore,Baltimore,MD,Maryland,1840001592
Las Vegas,Las Vegas,NV,Nevada,1840020364
Portland,Portland,OR,Oregon,1840019941
San Antonio,San Antonio,TX,Texas,1840022220
St. Louis,St. Louis,MO,Missouri,1840001651
Sacramento,Sacramento,CA,California,1840021491
Orlando,Orlando,FL,Florida,1840015099
San Jose,San Jose,CA,California,1840021570
Cleveland,Cleveland,OH,Ohio,1840000596
Pittsburgh,Pittsburgh,PA,Pennsylvania,1840001254
Austin,Austin,TX,Texas,1840019590
Cincinnati,Cincinnati,OH,Ohio,1840003814
Kansas City,Kansas City,MO,Missouri,1840008535
Manhattan,Manhattan,NY,New York,1840034000
Indianapolis,Indianapolis,IN,Indiana,1840030084
Columbus,Columbus,OH,Ohio,1840003760
Charlotte,Charlotte,NC,North Carolina,1840014557
Virginia Beach,Virginia Beach,VA,Virginia,1840003871
Bronx,Bronx,NY,New York,1840033999
Milwaukee,Milwaukee,WI,Wisconsin,1840003046
Providence,Providence,RI,Rhode Island,1840003289
Jacksonville,Jacksonville,FL,Florida,1840015031
Salt Lake City,Salt Lake City,UT,Utah,1840021383
Nashville,Nashville,TN,Tennessee,1840036155
Richmond,Richmond,VA,Virginia,1840001698
Memphis,Memphis,TN,Tennessee,1840015457
Raleigh,Raleigh,NC,North Carolina,1840014497
New Orleans,New Orleans,LA,Louisiana,1840001839
Louisville,Louisville,KY,Kentucky,1840030815
Oklahoma City,Oklahoma City,OK,Oklahoma,1840020428
Bridgeport,Bridgeport,CT,Connecticut,1840004836
Buffalo,Buffalo,NY,New York,1840000386
Fort Worth,Fort Worth,TX,Texas,1840020696
Hartford,Hartford,CT,Connecticut,1840004773
Tucson,Tucson,AZ,Arizona,1840022101
Omaha,Omaha,NE,Nebraska,1840009315
El Paso,El Paso,TX,Texas,1840023252
Honolulu,Honolulu,HI,Hawaii,1840013305
McAllen,McAllen,TX,Texas,1840021024
Albuquerque,Albuquerque,NM,New Mexico,1840019176
Birmingham,Birmingham,AL,Alabama,1840006507
Sarasota,Sarasota,FL,Florida,1840015988
Dayton,Dayton,OH,Ohio,1840034249
Rochester,Rochester,NY,New York,1840000373
Fresno,Fresno,CA,California,1840020319
Allentown,Allentown,PA,Pennsylvania,1840001044
Tulsa,Tulsa,OK,Oklahoma,1840021672
Cape Coral,Cape Coral,FL,Florida,1840015130
Concord,Concord,CA,California,1840018905
Colorado Springs,Colorado Springs,CO,Colorado,1840018825
Charleston,Charleston,SC,South Carolina,1840015163
Springfield,Springfield,MA,Massachusetts,1840000466
Grand Rapids,Grand Rapids,MI,Michigan,1840002928
Mission Viejo,Mission Viejo,CA,California,1840020580
Albany,Albany,NY,New York,1840000417
Knoxville,Knoxville,TN,Tennessee,1840014486
Bakersfield,Bakersfield,CA,California,1840019148
Ogden,Ogden,UT,Utah,1840020135
Baton Rouge,Baton Rouge,LA,Louisiana,1840013941
Akron,Akron,OH,Ohio,1840000791
New Haven,New Haven,CT,Connecticut,1840004850
Columbia,Columbia,SC,South Carolina,1840014730
Mesa,Mesa,AZ,Arizona,1840020566
Palm Bay,Palm Bay,FL,Florida,1840015094
Provo,Provo,UT,Utah,1840020174
Worcester,Worcester,MA,Massachusetts,1840000434
Murrieta,Murrieta,CA,California,1840020553
Greenville,Greenville,SC,South Carolina,1840013501
Wichita,Wichita,KS,Kansas,1840001686
Toledo,Toledo,OH,Ohio,1840000572
Staten Island,Staten Island,NY,New York,1840034032
Des Moines,Des Moines,IA,Iowa,1840007069
Long Beach,Long Beach,CA,California,1840020490
Port St. Lucie,Port St. Lucie,FL,Florida,1840015119
Denton,Denton,TX,Texas,1840019390
Madison,Madison,WI,Wisconsin,1840002915
Reno,Reno,NV,Nevada,1840020121
Harrisburg,Harrisburg,PA,Pennsylvania,1840001288
Little Rock,Little Rock,AR,Arkansas,1840015509
Oakland,Oakland,CA,California,1840020296
Durham,Durham,NC,North Carolina,1840013364
Winston-Salem,Winston-Salem,NC,North Carolina,1840015324
Bonita Springs,Bonita Springs,FL,Florida,1840014227
Indio,Indio,CA,California,1840019304
Palm Coast,Palm Coast,FL,Florida,1840015064
Chattanooga,Chattanooga,TN,Tennessee,1840014569
