city,city_ascii,state_id,state_name
New York,New York,NY,New York
Los Angeles,Los Angeles,CA,California
Chicago,Chicago,IL,Illinois
Miami,Miami,FL,Florida
Dallas,Dallas,TX,Texas
Philadelphia,Philadelphia,PA,Pennsylvania
Houston,Houston,TX,Texas
Atlanta,Atlanta,GA,Georgia
Washington,Washington,DC,District of Columbia
Boston,Boston,MA,Massachusetts
Phoenix,Phoenix,AZ,Arizona
Seattle,Seattle,WA,Washington
San Francisco,San Francisco,CA,California
Detroit,Detroit,MI,Michigan
San Diego,San Diego,CA,California
Minneapolis,Minneapolis,MN,Minnesota
Tampa,Tampa,FL,Florida
Denver,Denver,CO,Colorado
Brooklyn,Brooklyn,NY,New York
Queens,Queens,NY,New York
Riverside,Riverside,CA,California
Baltimore,Baltimore,MD,Maryland
Las Vegas,Las Vegas,NV,Nevada
Portland,Portland,OR,Oregon
San Antonio,San Antonio,TX,Texas
LouisSt. ,St. Louis,MO,Missouri
Sacramento,Sacramento,CA,California
Orlando,Orlando,FL,Florida
San Jose,San Jose,CA,California
Cleveland,Cleveland,OH,Ohio
Pittsburgh,Pittsburgh,PA,Pennsylvania
Austin,Austin,TX,Texas
Cincinnati,Cincinnati,OH,Ohio
Kansas City,Kansas City,MO,Missouri
Manhattan,Manhattan,NY,New York
Indianapolis,Indianapolis,IN,Indiana
Columbus,Columbus,OH,Ohio
Charlotte,Charlotte,NC,North Carolina
Virginia Beach,Virginia Beach,VA,Virginia
Bronx,Bronx,NY,New York
Milwaukee,Milwaukee,WI,Wisconsin
Providence,Providence,RI,Rhode Island
Jacksonville,Jacksonville,FL,Florida
Salt Lake City,Salt Lake City,UT,Utah
Nashville,Nashville,TN,Tennessee
Richmond,Richmond,VA,Virginia
Memphis,Memphis,TN,Tennessee
Raleigh,Raleigh,NC,North Carolina
New Orleans,New Orleans,LA,Louisiana
Louisville,Louisville,KY,Kentucky
Oklahoma City,Oklahoma City,OK,Oklahoma
Bridgeport,Bridgeport,CT,Connecticut
Buffalo,Buffalo,NY,New York
Fort Worth,Fort Worth,TX,Texas
Hartford,Hartford,CT,Connecticut
Tucson,Tucson,AZ,Arizona
Omaha,Omaha,NE,Nebraska
El Paso,El Paso,TX,Texas
Honolulu,Honolulu,HI,Hawaii
McAllen,McAllen,TX,Texas
Albuquerque,Albuquerque,NM,New Mexico
Birmingham,Birmingham,AL,Alabama
Sarasota,Sarasota,FL,Florida
Dayton,Dayton,OH,Ohio
Rochester,Rochester,NY,New York
Fresno,Fresno,CA,California
Allentown,Allentown,PA,Pennsylvania
Tulsa,Tulsa,OK,Oklahoma
Cape Coral,Cape Coral,FL,Florida
Concord,Concord,CA,California
Colorado Springs,Colorado Springs,CO,Colorado
Charleston,Charleston,SC,South Carolina
Springfield,Springfield,MA,Massachusetts
Grand Rapids,Grand Rapids,MI,Michigan
Mission Viejo,Mission Viejo,CA,California
Albany,Albany,NY,New York
Knoxville,Knoxville,TN,Tennessee
Bakersfield,Bakersfield,CA,California
Ogden,Ogden,UT,Utah
Baton Rouge,Baton Rouge,LA,Louisiana
Akron,Akron,OH,Ohio
New Haven,New Haven,CT,Connecticut
Columbia,Columbia,SC,South Carolina
Mesa,Mesa,AZ,Arizona
Palm Bay,Palm Bay,FL,Florida
Provo,Provo,UT,Utah
Worcester,Worcester,MA,Massachusetts
Murrieta,Murrieta,CA,California
Greenville,Greenville,SC,South Carolina
Wichita,Wichita,KS,Kansas
Toledo,Toledo,OH,Ohio
Staten Island,Staten Island,NY,New York
Des Moines,Des Moines,IA,Iowa
Long Beach,Long Beach,CA,California
Port St. Lucie,Port St. Lucie,FL,Florida
Denton,Denton,TX,Texas
Madison,Madison,WI,Wisconsin
Reno,Reno,NV,Nevada
Harrisburg,Harrisburg,PA,Pennsylvania
Little Rock,Little Rock,AR,Arkansas
Oakland,Oakland,CA,California
Durham,Durham,NC,North Carolina
Winston-Salem,Winston-Salem,NC,North Carolina
Bonita Springs,Bonita Springs,FL,Florida
Indio,Indio,CA,California
Palm Coast,Palm Coast,FL,Florida
Chattanooga,Chattanooga,TN,Tennessee
Spokane,Spokane,WA,Washington
Syracuse,Syracuse,NY,New York
Lancaster,Lancaster,PA,Pennsylvania
Arlington,Arlington,TX,Texas
Stockton,Stockton,CA,California
Poughkeepsie,Poughkeepsie,NY,New York
Augusta,Augusta,GA,Georgia
Boise,Boise,ID,Idaho
Oxnard,Oxnard,CA,California
Scranton,Scranton,PA,Pennsylvania
Modesto,Modesto,CA,California
Kissimmee,Kissimmee,FL,Florida
Aurora,Aurora,CO,Colorado
Youngstown,Youngstown,OH,Ohio
Fayetteville,Fayetteville,AR,Arkansas
Anaheim,Anaheim,CA,California
Pensacola,Pensacola,FL,Florida
Victorville,Victorville,CA,California
Lancaster,Lancaster,CA,California
Greensboro,Greensboro,NC,North Carolina
Corpus Christi,Corpus Christi,TX,Texas
Fort Wayne,Fort Wayne,IN,Indiana
Santa Ana,Santa Ana,CA,California
Flint,Flint,MI,Michigan
Fayetteville,Fayetteville,NC,North Carolina
Jackson,Jackson,MS,Mississippi
Santa Rosa,Santa Rosa,CA,California
Lansing,Lansing,MI,Michigan
San Juan,San Juan,PR,Puerto Rico
Lexington,Lexington,KY,Kentucky
Ann Arbor,Ann Arbor,MI,Michigan
Henderson,Henderson,NV,Nevada
Huntsville,Huntsville,AL,Alabama
Mobile,Mobile,AL,Alabama
Fort Collins,Fort Collins,CO,Colorado
Asheville,Asheville,NC,North Carolina
Santa Clarita,Santa Clarita,CA,California
St. Paul,St. Paul,MN,Minnesota
Antioch,Antioch,CA,California
Lakeland,Lakeland,FL,Florida
Trenton,Trenton,NJ,New Jersey
Lincoln,Lincoln,NE,Nebraska
Springfield,Springfield,MO,Missouri
Anchorage,Anchorage,AK,Alaska
Plano,Plano,TX,Texas
Irvine,Irvine,CA,California
Davenport,Davenport,IA,Iowa
Rockford,Rockford,IL,Illinois
Newark,Newark,NJ,New Jersey
South Bend,South Bend,IN,Indiana
Shreveport,Shreveport,LA,Louisiana
Round Lake Beach,Round Lake Beach,IL,Illinois
Savannah,Savannah,GA,Georgia
Myrtle Beach,Myrtle Beach,SC,South Carolina
Chula Vista,Chula Vista,CA,California
Eugene,Eugene,OR,Oregon
Canton,Canton,OH,Ohio
Lubbock,Lubbock,TX,Texas
Reading,Reading,PA,Pennsylvania
Winter Haven,Winter Haven,FL,Florida
Salem,Salem,OR,Oregon
St. Petersburg,St. Petersburg,FL,Florida
Lafayette,Lafayette,LA,Louisiana
Laredo,Laredo,TX,Texas
Jersey City,Jersey City,NJ,New Jersey
Concord,Concord,NC,North Carolina
Columbus,Columbus,GA,Georgia
Chandler,Chandler,AZ,Arizona
McKinney,McKinney,TX,Texas
Scottsdale,Scottsdale,AZ,Arizona
Killeen,Killeen,TX,Texas
Tallahassee,Tallahassee,FL,Florida
Peoria,Peoria,IL,Illinois
Wilmington,Wilmington,NC,North Carolina
Montgomery,Montgomery,AL,Alabama
Gilbert,Gilbert,AZ,Arizona
Glendale,Glendale,AZ,Arizona
North Las Vegas,North Las Vegas,NV,Nevada
Chesapeake,Chesapeake,VA,Virginia
Barnstable,Barnstable,MA,Massachusetts
Norfolk,Norfolk,VA,Virginia
Fremont,Fremont,CA,California
Kennewick,Kennewick,WA,Washington
Garland,Garland,TX,Texas
Irving,Irving,TX,Texas
Visalia,Visalia,CA,California
Atlantic City,Atlantic City,NJ,New Jersey
Paradise,Paradise,NV,Nevada
Nashua,Nashua,NH,New Hampshire
Arlington,Arlington,VA,Virginia
Hialeah,Hialeah,FL,Florida
York,York,PA,Pennsylvania
Evansville,Evansville,IN,Indiana
Avondale,Avondale,AZ,Arizona
Brownsville,Brownsville,TX,Texas
Gulfport,Gulfport,MS,Mississippi
Appleton,Appleton,WI,Wisconsin
Bremerton,Bremerton,WA,Washington
Hickory,Hickory,NC,North Carolina
Tacoma,Tacoma,WA,Washington
San Bernardino,San Bernardino,CA,California
College Station,College Station,TX,Texas
Kalamazoo,Kalamazoo,MI,Michigan
Thousand Oaks,Thousand Oaks,CA,California
Roanoke,Roanoke,VA,Virginia
Fontana,Fontana,CA,California
Moreno Valley,Moreno Valley,CA,California
North Port,North Port,FL,Florida
Fargo,Fargo,ND,North Dakota
Green Bay,Green Bay,WI,Wisconsin
Spring Valley,Spring Valley,NV,Nevada
Amarillo,Amarillo,TX,Texas
Portland,Portland,ME,Maine
Santa Barbara,Santa Barbara,CA,California
Gainesville,Gainesville,FL,Florida
Olympia,Olympia,WA,Washington
Frisco,Frisco,TX,Texas
Yonkers,Yonkers,NY,New York
Norwich,Norwich,CT,Connecticut
Glendale,Glendale,CA,California
Huntington Beach,Huntington Beach,CA,California
Deltona,Deltona,FL,Florida
Aurora,Aurora,IL,Illinois
Tempe,Tempe,AZ,Arizona
Overland Park,Overland Park,KS,Kansas
Grand Prairie,Grand Prairie,TX,Texas
Sunrise Manor,Sunrise Manor,NV,Nevada
Waco,Waco,TX,Texas
Salinas,Salinas,CA,California
Waterbury,Waterbury,CT,Connecticut
Clarksville,Clarksville,TN,Tennessee
